,drop ratio,pb,roe,market cap (in Bil),price on 04-09,Debt/Eq,Dividend %
EA,0.946542614,4.52,43.20%,32.76,105.8000031,0.14,-
FTNT,0.947548424,14.16,27.80%,20.21,101.9300003,0,-
KMB,0.948206127,-,-,48.25,131.4900055,-,3.06%
VRSN,0.952746391,-,-42.40%,23.94,196.0700073,-,-
MCK,0.954430967,3.99,-12.80%,21.94,133.3200073,1.6,1.19%
CPB,0.955130694,6.06,95.60%,14.61,47.75,2.33,2.80%
CDNS,0.957296238,9.93,62.00%,21.49,71.65000153,0.16,-
TTWO,0.960320807,5.79,15.50%,13.89,119.4000015,0,-
VRSK,0.961289897,10.85,20.70%,24.49,148.2599945,1.39,0.72%
ES,0.962728312,2.35,7.50%,27.93,90.09999847,1.23,2.48%
TIF,0.962782004,4.72,16.90%,15.83,127.9499969,0.31,1.80%
XEL,0.963624526,2.63,10.70%,34.78,66.26999664,1.42,2.45%
AEE,0.964125316,2.35,10.50%,18.98,79,1.22,2.57%
NEE,0.965275174,3.2,10.60%,118.5,245.2799988,1.15,2.31%
RMD,0.973351332,10.45,21.50%,23.6,159.8200073,0.58,0.95%
DVA,0.974981933,4.66,26.20%,9.92,74.81999969,3.8,-
WEC,0.975698263,3.1,11.30%,31.33,98.22000122,1.26,2.55%
BAX,0.97687814,5.66,13.00%,44.65,86.88999939,0.68,1.00%
MKTX,0.977098277,19.19,29.70%,14.73,403.3500061,0,0.60%
CL,0.989900042,522.21,-856.10%,62.97,69.91000366,67.07,2.41%
AWK,0.991217981,3.95,10.20%,24.18,131.75,1.55,1.50%
AMD,0.992453331,22.15,15.70%,64.86,48.38000107,0.17,-
WMT,0.993029087,4.9,20.90%,365.48,121.8000031,0.73,1.67%
COST,1.002016137,8.36,24.30%,141.47,300.0100098,0.37,0.83%
AMT,1.002654313,22.36,35.80%,113,259.6000061,4.76,1.55%
MSFT,1.002829379,12.02,42.90%,1321.09,165.1399994,0.71,1.17%
ATVI,1.009841442,3.81,12.40%,49.17,60.45999908,0.21,0.65%
ABC,1.011569599,6.24,22.10%,18.52,87.80999756,1.41,1.88%
BLL,1.011974827,7.52,17.00%,22.17,69.94000244,2.65,0.88%
COG,1.01642558,3.67,30.20%,7.92,18.87999916,0.57,2.05%
DG,1.023315893,6.73,25.70%,44.78,169.2400055,0.43,0.81%
BIIB,1.033890788,4.45,43.50%,59.34,321.0499878,0.45,-
PGR,1.041168285,3.57,30.80%,47,80.38999939,0.33,0.50%
GIS,1.043825228,4.72,28.60%,35.77,57.40000153,1.8,3.33%
CCI,1.044203069,6.58,6.60%,68.96,164.1399994,1.73,2.90%
HRL,1.050867074,4.26,16.50%,25.99,47.54000092,0.05,1.92%
AMZN,1.062992635,18.25,21.10%,1136.8,2042.76001,0.67,-
LLY,1.067346853,52.65,295.80%,145.1,145.7299957,5.88,1.96%
KR,1.072736729,2.97,18.90%,24.93,31.05999947,1.64,1.99%
SJM,1.078294569,1.57,7.70%,13.05,112.75,0.66,3.11%
ROL,1.082273305,15.09,26.30%,12.28,36.02000046,0.36,1.12%
VRTX,1.086505324,11.13,22.30%,68.88,246.6100006,0.09,-
TMUS,1.086622991,2.67,12.60%,115.86,85.90000153,1.02,-
JKHY,1.08698895,8.69,19.40%,12.83,170.1600037,0,1.02%
NVDA,1.087704816,14.17,25.70%,176.42,262.9500122,0,0.23%
AKAM,1.087895351,4.44,13.80%,16.61,95.38999939,0.5,-
EQIX,1.093067872,6.65,5.80%,58.76,686.9400024,1.34,1.54%
MSCI,1.107958875,-,-291.70%,26.58,310.6900024,-,0.87%
NFLX,1.118134966,23.92,28.40%,181.66,370.7200012,1.95,-
GILD,1.142167287,4.37,24.60%,99.86,73.51000214,1.09,3.50%
SBAC,1.152551883,-,-4.20%,33.54,305.8099976,-,0.61%
CLX,1.164582872,43.98,133.50%,24.38,184.2100067,5.06,2.18%
DLR,1.17685113,3.58,5.80%,36.94,148.2899933,1.22,2.98%
CTXS,1.286003421,22.36,104.40%,18.53,139.3999939,0.89,0.97%
REGN,1.31906879,5.17,20.70%,57.67,512.960022,0.06,-
ABBV,,-,-95.60%,121.88,,-,5.75%
ACN,,7.34,33.80%,113.77,,0,1.80%
ALLE,,12.03,58.70%,9.11,,1.89,1.31%
AGN,,1.05,-8.90%,61.06,,0.39,1.59%
AMCR,,2.73,-,14.59,,1.16,5.09%
AOS,,3.98,21.80%,6.59,,0.17,2.36%
AMAT,,5.55,34.10%,50,,0.61,1.68%
APTV,,4.2,27.70%,16.04,,1.14,-
ANET,,5.47,32.80%,16.21,,0,-
CPRI,,0.83,14.20%,2.22,,0.81,-
CAH,,14.82,-116.50%,14.8,,7.94,3.79%
CARR,,-,-,12.01,,-,-
CAT,,4.4,40.70%,66.77,,2.58,3.54%
CBOE,,3.58,-,11.03,,-,1.43%
CDW,,15.93,78.40%,15.3,,3.32,1.42%
CHTR,,3.31,4.90%,113.99,,2.52,-
CFG,,0.43,8.30%,8.83,,0.68,7.67%
CAG,,2.09,10.10%,16.25,,1.29,2.55%
CTVA,,0.82,-,19.82,,0.01,1.97%
COTY,,1.07,-52.90%,4.67,,1.66,7.95%
FANG,,0.39,1.70%,5.39,,0.41,4.74%
DOW,,1.95,-7.20%,26.37,,1.26,7.92%
EOG,,1.13,13.10%,24.84,,0.24,3.55%
FB,,5.03,20.00%,505.23,,0,-
FRC,,1.97,10.20%,16.01,,0.15,0.76%
FLT,,5.18,23.90%,19.21,,1.36,-
FTV,,2.78,9.40%,20.39,,0.86,0.46%
FBHS,,2.66,18.50%,6.44,,0.9,2.08%
FOXA,,1.58,18.20%,16.15,,0.65,1.74%
FOX,,1.54,-,-,,-,1.77%
GPS,,0.95,9.90%,2.71,,0.38,11.51%
GM,,0.79,15.50%,31.57,,2.47,6.61%
HAL,,0.84,-12.30%,7.1,,1.31,9.44%
HCA,,-,-95.80%,38.09,,-,1.53%
HPE,,0.78,6.90%,13.47,,0.81,4.63%
HLT,,-,-568.40%,19.89,,-,0.86%
HII,,5.14,33.90%,8.15,,0.81,1.75%
INFO,,3.15,10.50%,26.13,,0.62,1.02%
IR,,2.89,8.90%,10.62,,0.86,-
IQV,,4.06,3.00%,24.26,,1.94,-
KEYS,,5.7,22.60%,17.83,,0,-
KMI,,1.02,6.50%,33.02,,1.02,6.61%
KHC,,0.67,3.70%,33.78,,0.57,5.62%
LW,,32.81,342.30%,8.87,,8.33,1.52%
LYB,,2.42,36.90%,18.41,,1.5,7.16%
MPC,,0.5,7.80%,17.02,,0.86,8.82%
MS,,0.86,11.60%,60.19,,5.99,3.51%
MOS,,0.5,-10.60%,4.2,,0.5,1.64%
NEM,,2.28,15.40%,48.87,,0.32,0.94%
NWSA,,0.62,-2.00%,5.26,,0.13,2.12%
NWS,,0.63,-,-,,-,2.07%
NLSN,,2.28,-16.70%,5.27,,3.79,1.71%
NI,,1.96,6.50%,9.75,,1.89,3.16%
NCLH,,0.4,15.00%,2.63,,1.04,-
ODFL,,5.18,21.30%,16.33,,0.01,0.46%
OTIS,,-,-,19.87,,-,-
PAYC,,25.03,39.40%,12.27,,0.06,-
PYPL,,7.63,15.20%,128.89,,0.29,-
PSX,,1.09,12.40%,27.69,,0.47,5.89%
PNC,,0.88,10.40%,43.57,,0.89,4.62%
QRVO,,2.4,8.00%,10.88,,0.36,-
NOW,,26.8,41.70%,57.05,,0,-
SYF,,0.7,25.40%,10.07,,1.38,5.28%
TXN,,11.62,57.20%,105.98,,0.65,3.24%
TWTR,,2.49,18.00%,21.93,,0.29,-
UA,,1.97,-,-,,-,-
VIAC,,1.65,48.40%,9.7,,1.42,5.90%
WRK,,0.7,7.30%,8.24,,0.86,5.83%
XYL,,4.29,13.90%,12.62,,0.78,1.48%
ZTS,,22.39,59.30%,60.6,,2.38,0.63%
